"Date","Price","Open","High","Low","Vol.","Change %"
"12/16/2025","232.51","235.80","239.40","230.58","22.58M","-2.10%"
"12/15/2025","237.50","247.11","250.11","236.00","27.48M","-1.51%"
"12/12/2025","241.14","255.67","255.82","239.32","25.94M","-6.70%"
"12/11/2025","258.46","261.53","262.85","251.55","18.87M","-1.99%"
"12/10/2025","263.71","255.13","264.75","250.58","21.96M","4.47%"
"12/09/2025","252.42","244.49","255.51","242.83","17.07M","2.23%"
"12/08/2025","246.92","243.49","249.23","241.61","20.50M","4.09%"
"12/05/2025","237.22","228.95","240.57","226.68","21.16M","4.66%"
"12/04/2025","226.65","230.28","234.16","223.33","23.51M","-3.21%"
"12/03/2025","234.16","236.39","237.80","228.09","19.19M","-2.23%"
"12/02/2025","239.49","238.74","244.37","234.33","18.17M","-0.40%"
"12/01/2025","240.46","232.29","242.36","231.50","18.24M","1.68%"
"11/28/2025","236.48","235.62","238.10","233.47","12.91M","2.70%"
"11/26/2025","230.26","229.62","233.83","226.00","17.82M","2.55%"
"11/25/2025","224.53","219.22","226.19","216.00","17.44M","0.27%"
"11/24/2025","223.93","213.41","226.11","212.36","33.05M","7.99%"
"11/21/2025","207.37","204.53","212.00","192.59","36.68M","2.98%"
"11/20/2025","201.37","230.24","230.60","199.60","47.42M","-10.87%"
"11/19/2025","225.92","226.91","234.35","216.36","35.26M","-1.13%"
"11/18/2025","228.50","235.48","238.93","225.52","33.84M","-5.56%"
"11/17/2025","241.95","246.92","260.58","239.46","30.30M","-1.98%"
"11/14/2025","246.83","231.45","255.17","231.23","36.17M","4.17%"
"11/13/2025","236.95","243.60","249.50","230.16","32.32M","-3.25%"
"11/12/2025","244.90","244.90","249.19","240.84","17.26M","1.57%"
"11/11/2025","241.11","248.34","249.99","238.79","22.62M","-4.81%"
"11/10/2025","253.30","247.96","257.07","247.81","27.87M","6.46%"
"11/07/2025","237.92","234.03","242.55","226.40","30.61M","-0.17%"
"11/06/2025","238.33","237.84","246.41","234.88","32.02M","0.35%"
"11/05/2025","237.50","225.66","239.88","224.73","28.62M","8.93%"
"11/04/2025","218.03","222.14","228.67","217.40","23.70M","-7.10%"
"11/03/2025","234.70","233.88","237.62","231.80","21.20M","4.88%"
"10/31/2025","223.77","227.75","231.25","218.82","16.32M","-0.11%"
"10/30/2025","224.01","226.10","227.40","220.74","14.80M","-1.16%"
"10/29/2025","226.63","229.05","232.40","226.10","23.22M","2.13%"
"10/28/2025","221.91","218.93","222.90","217.56","14.96M","0.82%"
"10/27/2025","220.10","224.81","224.98","215.74","23.87M","0.49%"
"10/24/2025","219.02","212.39","219.82","209.98","25.82M","5.96%"
"10/23/2025","206.71","196.70","209.00","195.20","19.40M","4.15%"
"10/22/2025","198.47","202.25","205.58","192.40","21.95M","-1.89%"
"10/21/2025","202.29","204.30","205.87","200.84","13.72M","-2.17%"
"10/20/2025","206.77","209.65","214.75","205.50","23.27M","2.17%"
"10/17/2025","202.38","199.28","203.39","195.55","23.28M","-0.07%"
"10/16/2025","202.53","199.96","206.34","195.20","42.04M","5.52%"
"10/15/2025","191.94","192.48","192.88","187.42","17.79M","2.61%"
"10/14/2025","187.06","186.96","192.46","186.25","15.91M","-2.96%"
"10/13/2025","192.77","190.79","193.40","187.99","20.93M","6.15%"
"10/10/2025","181.60","192.96","193.44","179.61","26.99M","-5.58%"
"10/09/2025","192.33","192.96","196.62","189.50","19.72M","-2.14%"
"10/08/2025","196.54","188.99","196.95","188.80","26.83M","5.84%"
"10/07/2025","185.69","194.85","195.30","183.24","27.83M","-2.76%"
"10/06/2025","190.96","195.01","201.00","189.43","36.39M","1.67%"
"10/03/2025","187.83","185.21","191.85","184.92","29.40M","2.22%"
"10/02/2025","183.75","184.96","186.18","181.21","25.12M","0.88%"
"10/01/2025","182.15","165.60","182.39","165.50","41.67M","8.86%"
"09/30/2025","167.32","164.10","168.95","163.96","20.09M","2.09%"
"09/29/2025","163.90","160.00","165.80","159.97","26.51M","4.22%"
"09/26/2025","157.27","158.52","158.92","155.18","24.04M","0.28%"
"09/25/2025","156.83","157.39","158.95","154.65","32.21M","-3.02%"
"09/24/2025","161.71","165.08","166.00","158.30","57.10M","-2.82%"
"09/23/2025","166.41","165.68","168.99","165.23","43.32M","1.09%"
"09/22/2025","164.62","164.38","167.26","161.59","25.85M","1.16%"
"09/19/2025","162.73","162.75","163.70","159.38","37.31M","-3.65%"
"09/18/2025","168.89","162.99","170.45","162.60","28.21M","5.56%"
"09/17/2025","159.99","157.40","160.59","155.26","18.84M","0.74%"
"09/16/2025","158.82","157.98","159.56","157.16","16.91M","0.67%"
"09/15/2025","157.77","156.96","160.34","156.55","20.10M","0.34%"
"09/12/2025","157.23","153.55","158.28","153.21","32.29M","4.42%"
"09/11/2025","150.57","147.72","156.26","147.61","52.45M","7.55%"
"09/10/2025","140.00","140.02","142.24","138.34","25.79M","3.52%"
"09/09/2025","135.24","131.76","138.00","131.56","20.70M","2.88%"
"09/08/2025","131.46","130.55","132.26","128.40","19.49M","0.07%"
"09/05/2025","131.37","127.77","131.41","125.66","28.42M","5.76%"
"09/04/2025","124.21","118.85","124.41","118.52","18.59M","4.62%"
"09/03/2025","118.72","119.36","119.44","117.29","14.10M","0.20%"
"09/02/2025","118.48","115.86","118.56","114.25","13.77M","-0.45%"
"08/29/2025","119.01","122.60","122.77","118.06","16.77M","-2.45%"
"08/28/2025","122.00","118.88","122.57","118.73","17.30M","3.61%"
"08/27/2025","117.75","116.85","118.73","116.44","15.35M","1.07%"
"08/26/2025","116.50","116.09","118.36","115.81","12.58M","0.07%"
"08/25/2025","116.42","117.68","118.08","116.10","8.67M","-1.07%"
"08/22/2025","117.68","117.65","120.70","116.51","17.04M","1.63%"
"08/21/2025","115.79","117.00","117.73","115.61","13.17M","-1.21%"
"08/20/2025","117.21","118.70","118.91","113.46","25.79M","-3.97%"
"08/19/2025","122.05","122.94","124.24","121.31","11.49M","-1.21%"
"08/18/2025","123.55","121.35","123.68","120.66","12.21M","2.22%"
"08/15/2025","120.87","123.17","123.38","119.44","18.99M","-3.53%"
"08/14/2025","125.29","123.20","125.74","121.40","12.24M","0.82%"
"08/13/2025","124.27","127.58","128.60","123.35","18.44M","-2.72%"
"08/12/2025","127.75","124.70","128.55","123.04","25.99M","3.26%"
"08/11/2025","123.72","124.97","127.28","121.65","35.07M","4.06%"
"08/08/2025","118.89","112.17","119.33","111.67","28.96M","6.28%"
"08/07/2025","111.87","114.14","115.28","110.79","18.99M","2.84%"
"08/06/2025","108.78","107.90","108.96","106.75","13.02M","-0.26%"
"08/05/2025","109.06","109.30","110.64","106.83","17.84M","1.20%"
"08/04/2025","107.77","106.01","107.88","105.46","14.78M","2.76%"
"08/01/2025","104.88","105.49","106.50","103.38","24.00M","-3.90%"
"07/31/2025","109.14","112.19","112.27","106.94","29.22M","-4.88%"
"07/30/2025","114.74","112.60","114.89","112.41","16.38M","2.48%"
"07/29/2025","111.96","112.04","113.54","110.67","16.65M","0.64%"
"07/28/2025","111.25","111.72","112.00","109.86","12.93M","-0.01%"
"07/25/2025","111.26","110.99","111.50","108.83","16.37M","-0.42%"
"07/24/2025","111.73","111.06","112.73","110.25","20.29M","1.73%"
"07/23/2025","109.83","109.44","110.29","108.88","17.81M","0.56%"
"07/22/2025","109.22","112.86","113.00","108.13","27.92M","-3.54%"
"07/21/2025","113.23","113.58","115.92","112.67","22.19M","-1.01%"
"07/18/2025","114.39","114.24","114.80","113.28","19.35M","1.00%"
"07/17/2025","113.26","113.93","114.20","110.95","34.70M","-2.72%"
"07/16/2025","116.43","119.03","119.09","114.81","30.61M","-3.06%"
"07/15/2025","120.11","120.94","121.39","119.12","24.96M","1.26%"
"07/14/2025","118.61","120.38","120.44","117.02","32.12M","-4.75%"
"07/11/2025","124.53","122.13","124.81","121.24","15.82M","1.15%"
"07/10/2025","123.11","124.28","124.35","122.02","15.38M","0.71%"
"07/09/2025","122.24","124.82","126.15","121.28","20.46M","-1.75%"
"07/08/2025","124.42","122.44","125.45","121.95","26.24M","3.75%"
"07/07/2025","119.92","121.18","121.50","118.91","19.15M","-1.94%"
"07/03/2025","122.29","122.32","123.63","121.83","13.25M","0.45%"
