"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2026","177.82","179.84","182.76","176.82","189.02M","-3.01%"
"03/05/2026","183.34","181.17","184.06","177.88","198.78M","0.16%"
"03/04/2026","183.04","180.44","184.70","180.06","177.73M","1.66%"
"03/03/2026","180.05","178.49","180.90","176.92","178.10M","-1.33%"
"03/02/2026","182.48","175.01","183.46","174.64","209.10M","2.99%"
"02/27/2026","177.19","181.25","182.59","176.38","311.64M","-4.16%"
"02/26/2026","184.89","194.27","194.29","184.32","360.81M","-5.46%"
"02/25/2026","195.56","194.45","197.63","193.79","250.64M","1.41%"
"02/24/2026","192.85","191.49","193.77","187.40","175.12M","0.68%"
"02/23/2026","191.55","191.40","193.95","189.57","171.58M","0.91%"
"02/20/2026","189.82","186.57","190.33","185.94","178.42M","1.02%"
"02/19/2026","187.90","187.05","188.43","185.66","126.55M","-0.04%"
"02/18/2026","187.98","188.75","190.37","186.76","164.75M","1.63%"
"02/17/2026","184.97","181.75","187.15","179.18","162.28M","1.18%"
"02/13/2026","182.81","187.48","187.50","181.59","161.89M","-2.21%"
"02/12/2026","186.94","193.03","193.61","186.51","189.93M","-1.64%"
"02/11/2026","190.05","192.45","193.26","188.77","144.19M","0.80%"
"02/10/2026","188.54","191.38","192.48","188.12","136.76M","-0.79%"
"02/09/2026","190.04","184.26","193.66","183.95","196.39M","2.50%"
"02/06/2026","185.41","176.69","187.00","174.60","231.35M","7.87%"
"02/05/2026","171.88","174.93","176.82","171.03","206.31M","-1.33%"
"02/04/2026","174.19","179.46","179.58","171.91","207.01M","-3.41%"
"02/03/2026","180.34","186.24","186.27","176.23","204.02M","-2.84%"
"02/02/2026","185.61","187.20","190.30","184.88","165.79M","-2.89%"
"01/30/2026","191.13","191.21","194.49","189.47","179.49M","-0.72%"
"01/29/2026","192.51","191.34","193.48","186.06","171.76M","0.52%"
"01/28/2026","191.52","191.27","192.35","189.84","148.55M","1.59%"
"01/27/2026","188.52","187.24","190.00","185.70","143.71M","1.10%"
"01/26/2026","186.47","187.16","189.12","185.99","124.80M","-0.64%"
"01/23/2026","187.67","187.50","189.60","186.82","142.75M","1.53%"
"01/22/2026","184.84","184.75","186.17","183.93","139.64M","0.83%"
"01/21/2026","183.32","179.05","185.38","178.40","200.38M","2.95%"
"01/20/2026","178.07","181.90","182.38","177.61","223.35M","-4.38%"
"01/16/2026","186.23","189.07","190.44","186.08","187.97M","-0.44%"
"01/15/2026","187.05","186.50","189.70","186.33","206.19M","2.13%"
"01/14/2026","183.14","184.32","184.46","180.80","159.59M","-1.44%"
"01/13/2026","185.81","184.99","188.11","183.40","160.13M","0.47%"
"01/12/2026","184.94","183.22","187.12","183.02","137.97M","0.04%"
"01/09/2026","184.86","185.08","186.34","183.67","131.33M","-0.10%"
"01/08/2026","185.04","189.11","189.55","183.71","172.46M","-2.15%"
"01/07/2026","189.11","188.57","191.37","186.56","153.54M","1.00%"
"01/06/2026","187.24","190.52","192.17","186.82","176.86M","-0.47%"
"01/05/2026","188.12","191.76","193.63","186.15","183.53M","-0.39%"
"01/02/2026","188.85","189.84","192.93","188.26","148.24M","1.26%"
"12/31/2025","186.50","189.57","190.56","186.49","120.10M","-0.55%"
"12/30/2025","187.54","188.24","188.99","186.93","97.69M","-0.36%"
"12/29/2025","188.22","187.71","188.76","185.91","120.01M","-1.21%"
"12/26/2025","190.53","189.92","192.69","188.00","139.74M","1.02%"
"12/24/2025","188.61","187.94","188.91","186.59","65.53M","-0.32%"
"12/23/2025","189.21","182.97","189.33","182.90","174.87M","3.01%"
"12/22/2025","183.69","183.92","184.16","182.35","129.06M","1.49%"
"12/19/2025","180.99","176.66","181.45","176.34","324.93M","3.93%"
"12/18/2025","174.14","174.53","176.15","171.82","176.10M","1.87%"
"12/17/2025","170.94","176.10","176.13","170.31","222.78M","-3.81%"
"12/16/2025","177.72","176.26","178.49","174.90","148.59M","0.81%"
"12/15/2025","176.29","177.94","178.41","175.03","164.78M","0.73%"
"12/12/2025","175.02","181.11","182.82","174.62","204.27M","-3.27%"
"12/11/2025","180.93","180.27","181.32","176.62","182.14M","-1.55%"
"12/10/2025","183.78","184.96","185.48","182.04","162.79M","-0.64%"
"12/09/2025","184.97","185.56","185.72","183.32","144.72M","-0.31%"
"12/08/2025","185.55","182.64","188.00","182.40","204.38M","1.72%"
"12/05/2025","182.41","183.89","184.66","180.91","143.97M","-0.53%"
"12/04/2025","183.38","181.62","184.51","179.96","167.36M","2.11%"
"12/03/2025","179.59","181.08","182.45","179.11","165.14M","-1.03%"
"12/02/2025","181.46","181.76","185.66","180.00","182.63M","0.86%"
"12/01/2025","179.92","174.76","180.30","173.68","188.13M","1.65%"
"11/28/2025","177.00","179.01","179.29","176.50","121.33M","-1.81%"
"11/26/2025","180.26","181.63","182.91","178.24","183.85M","1.37%"
"11/25/2025","177.82","174.91","178.16","169.55","320.60M","-2.59%"
"11/24/2025","182.55","179.49","183.50","176.48","256.62M","2.05%"
"11/21/2025","178.88","181.24","184.56","172.93","346.93M","-0.97%"
"11/20/2025","180.64","195.95","196.00","179.85","343.50M","-3.15%"
"11/19/2025","186.52","184.79","187.85","182.83","247.25M","2.85%"
"11/18/2025","181.36","183.38","184.80","179.65","213.60M","-2.81%"
"11/17/2025","186.60","185.96","189.00","184.32","173.63M","-1.88%"
"11/14/2025","190.17","182.86","191.01","180.58","186.59M","1.77%"
"11/13/2025","186.86","191.05","191.44","183.85","207.42M","-3.58%"
"11/12/2025","193.80","195.72","195.89","191.13","154.94M","0.33%"
"11/11/2025","193.16","195.15","195.42","191.30","176.48M","-2.96%"
"11/10/2025","199.05","195.11","199.94","193.79","198.90M","5.79%"
"11/07/2025","188.15","184.90","188.32","178.91","264.94M","0.04%"
"11/06/2025","188.08","196.42","197.62","186.38","223.03M","-3.65%"
"11/05/2025","195.21","198.77","202.92","194.65","171.35M","-1.75%"
"11/04/2025","198.69","203.00","203.97","197.93","188.92M","-3.96%"
"11/03/2025","206.88","208.08","211.34","205.56","180.27M","2.17%"
"10/31/2025","202.49","206.45","207.97","202.07","179.80M","-0.20%"
"10/30/2025","202.89","205.15","206.16","201.41","178.86M","-2.00%"
"10/29/2025","207.04","207.98","212.19","204.77","308.83M","2.99%"
"10/28/2025","201.03","193.05","203.15","191.91","297.99M","4.98%"
"10/27/2025","191.49","189.99","192.00","188.43","153.45M","2.81%"
"10/24/2025","186.26","183.84","187.47","183.50","131.30M","2.25%"
"10/23/2025","182.16","180.42","183.03","179.79","111.36M","1.04%"
"10/22/2025","180.28","181.14","183.44","176.76","162.25M","-0.49%"
"10/21/2025","181.16","182.79","182.79","179.80","124.24M","-0.81%"
"10/20/2025","182.64","183.13","185.20","181.73","128.54M","-0.32%"
"10/17/2025","183.22","180.18","184.10","179.75","173.14M","0.78%"
"10/16/2025","181.81","182.23","183.28","179.77","179.72M","1.10%"
"10/15/2025","179.83","184.80","184.87","177.29","214.45M","-0.11%"
"10/14/2025","180.03","184.77","184.80","179.70","205.64M","-4.40%"
"10/13/2025","188.32","187.96","190.11","185.96","153.48M","2.82%"
"10/10/2025","183.16","193.51","195.62","182.05","268.77M","-4.89%"
"10/09/2025","192.57","192.23","195.30","191.06","183.00M","1.83%"
"10/08/2025","189.11","186.57","189.60","186.54","130.17M","2.20%"
"10/07/2025","185.04","186.23","189.06","184.00","140.09M","-0.27%"
"10/06/2025","185.54","185.50","187.23","183.33","157.68M","-1.11%"
"10/03/2025","187.62","189.19","190.36","185.38","137.60M","-0.67%"
"10/02/2025","188.89","189.60","191.05","188.06","136.81M","0.88%"
